gene_id	n_tissues_used	corr_domFrac_vs_logExpr	corr_entropy_vs_logExpr	median_gene_tpm	dominant_isoform_switch_range	isoform_entropy_range	n_isoforms
ENSG00000007001	7	0.8293421376192391	-0.7608047009469763	1.52	0.2747967479674796	0.4846139475139577	5
ENSG00000007038	5	0.7467004522093983	-0.3439498163874562	2.44	0.16508620689655173	0.10388824273836805	7
ENSG00000007047	54	-0.034532793071322045	0.14654691866534958	13.455000000000002	0.3239866780776013	0.6979406363104224	6
ENSG00000007062	14	-0.49694404723520114	0.6886329211965875	2.992499995	0.6216185092127303	1.6675000297354274	19
ENSG00000007080	54	0.01912354387267075	-0.040897567305123936	74.33999999999999	0.1524331519260803	0.2861306637483606	3
ENSG00000007129	11	0.5462609997396347	-0.26656491880185823	2.6949999499999997	0.4741479441425621	0.8683949816073903	7
ENSG00000007168	54	-0.0012588797940993606	0.014880170270378504	42.425	0.5378855829649868	1.2115189114824698	9
ENSG00000007171	7			1.7000000000000002	0.0	0.0	1
ENSG00000007174	17	-0.14909309587939681	0.540680131085524	4.550000000000001	0.4562664749580637	0.9167215114497748	13
ENSG00000007202	54	0.21096737238890528	0.019638925774139355	19.66	0.15399239543726229	0.42957224487992196	6
ENSG00000007216	7	-0.41921555977134584	0.33217089361409774	3.23	0.24845042957447738	0.5941013766664494	4
ENSG00000007237	51	0.03563167021634674	0.05603361553887929	17.159999969999998	0.34558809088945186	0.9089789427957857	18
ENSG00000007255	54	0.13506880373450642	-0.15116271845426693	20.494999999999997	0.3534488174784848	0.45120498042250445	4
ENSG00000007264	22	-0.25385510213976464	0.5984301912077883	8.1475	0.3320663650075415	0.637901815354683	15
ENSG00000007312	29	-0.40092806540013054	0.3690566063588539	1.9299999999999997	0.5471380471380471	1.031527096142438	3
ENSG00000007314	7			8.3	0.0	0.0	1
ENSG00000007341	53	-0.3077539653901674	0.5415176318682964	8.499999980000002	0.2480939793011199	0.662270399870228	28
ENSG00000007372	15	-0.28707558832619057	0.7987486370605891	5.800000000000001	0.3949256569847856	1.087341164222603	65
ENSG00000007376	54	-0.5186992014358746	0.4803947989766352	10.002500000000001	0.2945453318831555	0.6311105495931251	10
ENSG00000007384	52	0.6360999387767037	0.4285011779527055	24.167499499999995	0.15031088181622632	0.2886556064635596	6
ENSG00000007392	54	0.38808448885430175	-0.2382447327271628	36.097499400000004	0.1839072391277318	0.34209629739358904	14
ENSG00000007402	25	-0.49935254381478344	0.6228080067787447	1.5700000000000003	0.3490348385016825	0.7408517447931238	7
ENSG00000007516	43	-0.31200794999594617	0.4040545952651096	3.7999999000000004	0.4382120946538124	0.8254264057487593	8
