gene_id	n_tissues_used	n_isoforms	dominant_isoform_switch_range	isoform_entropy_range	log1p_gene_expr_range	median_gene_tpm
ENSG00000010438	26	7	0.5666312860419878	1.2384697133164382	7.208147900559862	14.607500000000002
ENSG00000010539	41	7	0.2612459301471554	0.6102045902374386	2.4193726084089273	2.43
ENSG00000010610	52	9	0.12408759124087587	0.3749908821566682	3.618863403599467	4.970000000000001
ENSG00000010626	53	14	0.29688779313590347	0.6403761708097218	3.1712950907061828	8.99
ENSG00000010671	31	3	0.03462050599201061	0.15045364143249454	3.65244795094371	2.03
ENSG00000010704	36	12	0.45748738189608673	1.1409589596524778	1.7698287879070334	3.2625000099999997
ENSG00000010803	53	11	0.244469438340041	0.45790656755113535	2.435287229413821	13.65
ENSG00000010810	54	20	0.39475532061869306	0.8310006988182076	3.0197045039974775	38.565
ENSG00000010818	53	5	0.1616814874696847	0.4826275084496149	2.3021325019023644	5.42
ENSG00000010932	16	8	0.4106178982020241	0.9113036430907622	2.257237273015586	2.465
ENSG00000011007	54	3	0.1661742427412808	0.4933870111887728	1.8980922747048206	12.112500497500001
ENSG00000011009	54	8	0.22393858628018948	0.5810244876911581	1.6346723852794476	28.48
ENSG00000011021	54	9	0.49458245672926177	1.028710383486097	3.052326011865686	15.0524999
ENSG00000011028	49	5	0.45562970640971245	0.7548969706307919	3.79796816473365	10.030000000000001
ENSG00000011052	53	3	0.0	0.0	1.9037158314442324	7.795
ENSG00000011083	10	2	0.012711864406779627	0.06812080270753948	3.2863458615337438	6.5125
ENSG00000011105	52	7	0.30687778394902127	0.4409362381606434	3.820991701641283	18.695
ENSG00000011114	53	7	0.3696879182053383	0.5577384468444889	1.4814638048744442	7.17
ENSG00000011132	54	1	0.0	0.0	1.431999518465218	6.485
ENSG00000011143	53	10	0.229001280244779	0.582959345737654	1.7192085785694795	7.970000000000001
ENSG00000011198	54	6	0.16689886480908145	0.5626945915122362	2.165067465701688	6.875
ENSG00000011201	30	3	0.38453767080039414	0.5944534760450519	1.4235726902438985	2.595
ENSG00000011243	54	12	0.370096836375263	0.5762599111937345	1.9790061624455042	31.9425005
ENSG00000011258	54	6	0.44128855196891337	0.7809882146165742	2.34660197841082	5.84
ENSG00000011260	54	6	0.2213602992104169	0.714346170970702	2.8796357711049927	14.852500000000001
ENSG00000011275	54	8	0.44857587046434544	1.0274681101708514	2.237653567331864	12.6375
ENSG00000011295	53	7	0.3485720522830906	0.3569908390746921	1.5125073729367335	13.594999999999999
ENSG00000011304	54	13	0.30281881548438855	0.687689532940337	2.534002823501113	74.49249855000001
ENSG00000011332	15	11	0.3709084696860409	0.6736549909880416	2.279328230829778	8.695
ENSG00000011347	46	10	0.43002028397565917	1.2894526979905536	3.4453585382465874	3.690000055
ENSG00000011376	51	6	0.135	0.3957821603954777	1.467183779023369	3.85
ENSG00000011405	53	5	0.24363404188776872	0.739776854800535	1.6598264048469138	10.529998999
ENSG00000011422	53	12	0.2460294740859863	0.7073035197442663	3.5369736671071106	6.989999999999999
ENSG00000011426	22	12	0.22672642468424542	0.5326754915442881	4.01862177851895	6.16
ENSG00000011451	54	5	0.43700749838452957	0.7736942655553704	2.2446472558878265	9.750000005
ENSG00000011454	54	7	0.07426011404600774	0.3151585820700556	3.1633631149379418	19.29
ENSG00000011465	53	20	0.49967350606559824	1.078686502875617	6.92181805813485	333.41999999999996
